"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni","DF_Param","DF_ART_Con","T_ART_Omni","T_Param","T_ART_Con","P_ART_Omni","P_Param","P_ART_Con","P_Nonparam"
4,8,"between","27","1","a c","2","b c",28,28,28,1.80610519813004,-1.14903459048853,-0.0261776004355244,0.0816631469213302,0.260262840000347,0.97930136435217,0.959129759129759
4,8,"between","28","1","a c","3","a d",28,28,28,0.404351910029112,0.072749765887549,0.15706560261314,0.689026136351685,0.942522449041949,0.876320262274454,0.878477078477078
4,8,"between","29","1","a c","4","b d",28,28,28,1.02435817207375,-1.36356539682728,-1.07328161785646,0.314435124419043,0.183567893537411,0.292307957802817,0.234498834498834
4,8,"between","30","2","b c","3","a d",28,28,28,-1.40175328810092,1.22178435637608,-0.183243203048664,0.171977458753562,0.231976113281933,0.85592766508769,1
4,8,"between","31","2","b c","4","b d",28,28,28,-0.781747026056286,-0.214530806338746,-1.04710401742094,0.440924000315814,0.831687919463849,0.304006863481643,0.505361305361305
4,8,"between","32","3","a d","4","b d",28,28,28,0.620006262044639,-1.43631516271483,-1.2303472204696,0.54026713816525,0.161992413333759,0.228803886239256,0.194871794871795
5,32,"between","33","5","a","6","b",124,124,124,-0.142549197590699,-6.87043206079183e-05,-0.142549197590699,0.886877587545392,0.999945292291234,0.886877587545392,0.986692276682462
5,32,"between","34","7","c","8","d",124,124,124,-0.547319894054008,-0.966362686448075,-0.547319894054008,0.585142710810465,0.335743695613235,0.585142710810465,0.628594248537373
5,32,"between","35","1","a c","2","b c",124,124,124,0.0637912442845377,0.170846545922559,0.0733246610368102,0.949239170319914,0.864622893248729,0.941665915661843,0.994681331184528
5,32,"between","36","1","a c","3","a d",124,124,124,1.12138292584399,-0.512426481459525,-0.279966887595096,0.264291833291796,0.609264107334104,0.779969405475917,0.82586850608045
5,32,"between","37","1","a c","4","b d",124,124,124,0.963583532087503,-0.683370189964081,-0.326628035527612,0.337130152393053,0.495647865718008,0.744499903739038,0.753995881906246
