Population Distribution,Layout,Between or Within,Condition Sample Size,Contrast Size,ART observed power,ART-C observed power,T-test observed power,Mann Whitney U test/ Wilcoxon signed-rank test observed power
Exponential,2x2,Between,40,2-Factor Contrasts,0.558,0.732,0.642,0.728
Exponential,2x2,Between,16,1-Factor Contrasts,0.658,0.658,0.595,0.494
Exponential,2x2,Between,16,2-Factor Contrasts,0.389,0.608,0.501,0.588
Exponential,2x2,Within,32,1-Factor Contrasts,0.676,0.676,0.592,0.585
Exponential,2x2,Within,32,2-Factor Contrasts,0.568,0.678,0.549,0.677
Exponential,2x2,Within,8,1-Factor Contrasts,0.500,0.500,0.362,0.319
Exponential,2x2,Within,8,2-Factor Contrasts,0.280,0.409,0.326,0.345
Exponential,2x2,Within,16,1-Factor Contrasts,0.641,0.641,0.538,0.515
Exponential,2x2,Within,16,2-Factor Contrasts,0.437,0.582,0.452,0.553
Exponential,2x2,Within,40,1-Factor Contrasts,0.763,0.763,0.691,0.669
Exponential,2x2,Within,40,2-Factor Contrasts,0.598,0.707,0.582,0.709
Exponential,2x2,Within,24,1-Factor Contrasts,0.756,0.756,0.648,0.606
Exponential,2x2,Within,24,2-Factor Contrasts,0.500,0.656,0.503,0.647
Exponential,2x2x2,Between,40,1-Factor Contrasts,0.829,0.829,0.738,0.660
Exponential,2x2x2,Between,40,2-Factor Contrasts,0.605,0.765,0.663,0.656
Exponential,2x2x2,Between,40,3-Factor Contrasts,0.473,0.731,0.556,0.728
Exponential,2x2x2,Between,24,1-Factor Contrasts,0.782,0.782,0.655,0.573
Exponential,2x2x2,Between,24,2-Factor Contrasts,0.514,0.693,0.580,0.596
Exponential,2x2x2,Between,24,3-Factor Contrasts,0.393,0.659,0.482,0.649
Exponential,2x2x2,Between,16,1-Factor Contrasts,0.727,0.727,0.593,0.478
Exponential,2x2x2,Between,16,2-Factor Contrasts,0.444,0.623,0.503,0.482
Exponential,2x2x2,Between,16,3-Factor Contrasts,0.318,0.573,0.413,0.553
Exponential,2x2x2,Between,8,1-Factor Contrasts,0.646,0.646,0.438,0.301
Exponential,2x2x2,Between,8,2-Factor Contrasts,0.312,0.474,0.387,0.338
Exponential,2x2x2,Between,8,3-Factor Contrasts,0.207,0.447,0.317,0.411
Exponential,2x2x2,Between,32,1-Factor Contrasts,0.772,0.772,0.676,0.619
Exponential,2x2x2,Between,32,2-Factor Contrasts,0.526,0.707,0.609,0.615
Exponential,2x2x2,Between,32,3-Factor Contrasts,0.425,0.683,0.530,0.674
Exponential,2x2x2,Within,32,1-Factor Contrasts,0.782,0.782,0.628,0.583
Exponential,2x2x2,Within,32,2-Factor Contrasts,0.605,0.707,0.551,0.609
Exponential,2x2x2,Within,32,3-Factor Contrasts,0.503,0.681,0.466,0.686
Exponential,2x2x2,Within,40,1-Factor Contrasts,0.813,0.813,0.660,0.638
Exponential,2x2x2,Within,40,2-Factor Contrasts,0.621,0.742,0.613,0.664
Exponential,2x2x2,Within,40,3-Factor Contrasts,0.523,0.718,0.522,0.720
Exponential,2x2x2,Within,24,1-Factor Contrasts,0.782,0.782,0.630,0.566
Exponential,2x2x2,Within,24,2-Factor Contrasts,0.565,0.662,0.529,0.566
Exponential,2x2x2,Within,24,3-Factor Contrasts,0.470,0.638,0.420,0.634
Exponential,2x2x2,Within,8,1-Factor Contrasts,0.665,0.665,0.367,0.326
Exponential,2x2x2,Within,8,2-Factor Contrasts,0.382,0.448,0.340,0.329
Exponential,2x2x2,Within,8,3-Factor Contrasts,0.276,0.433,0.282,0.358
Exponential,2x2x2,Within,16,1-Factor Contrasts,0.766,0.766,0.555,0.494
Exponential,2x2x2,Within,16,2-Factor Contrasts,0.505,0.593,0.450,0.492
Exponential,2x2x2,Within,16,3-Factor Contrasts,0.412,0.579,0.368,0.560
Exponential,3x3,Between,40,1-Factor Contrasts,0.769,0.769,0.678,0.637
Exponential,3x3,Between,40,2-Factor Contrasts,0.671,0.716,0.540,0.716
Exponential,3x3,Between,8,1-Factor Contrasts,0.598,0.598,0.427,0.337
Exponential,3x3,Between,8,2-Factor Contrasts,0.385,0.450,0.305,0.416
Exponential,3x3,Between,32,1-Factor Contrasts,0.771,0.771,0.657,0.624
Exponential,3x3,Between,32,2-Factor Contrasts,0.635,0.688,0.510,0.679
Exponential,3x3,Between,16,1-Factor Contrasts,0.695,0.695,0.553,0.512
Exponential,3x3,Between,16,2-Factor Contrasts,0.514,0.581,0.396,0.559
Exponential,3x3,Between,24,1-Factor Contrasts,0.750,0.750,0.609,0.575
Exponential,3x3,Between,24,2-Factor Contrasts,0.609,0.654,0.469,0.646
Exponential,3x3,Within,40,1-Factor Contrasts,0.807,0.807,0.641,0.655
Exponential,3x3,Within,40,2-Factor Contrasts,0.709,0.727,0.492,0.729
Exponential,3x3,Within,32,1-Factor Contrasts,0.768,0.768,0.585,0.599
Exponential,3x3,Within,32,2-Factor Contrasts,0.674,0.684,0.451,0.687
Exponential,3x3,Within,16,1-Factor Contrasts,0.689,0.689,0.489,0.476
Exponential,3x3,Within,16,2-Factor Contrasts,0.558,0.586,0.377,0.566
Exponential,3x3,Within,24,1-Factor Contrasts,0.749,0.749,0.583,0.583
Exponential,3x3,Within,24,2-Factor Contrasts,0.625,0.652,0.427,0.648
Exponential,3x3,Within,8,1-Factor Contrasts,0.547,0.547,0.358,0.301
Exponential,3x3,Within,8,2-Factor Contrasts,0.404,0.427,0.274,0.345
Cauchy,2x2,Between,8,1-Factor Contrasts,0.146,0.146,0.063,0.197
Cauchy,2x2,Between,8,2-Factor Contrasts,0.292,0.229,0.068,0.220
Cauchy,2x2,Between,32,1-Factor Contrasts,0.330,0.330,0.097,0.500
Cauchy,2x2,Between,32,2-Factor Contrasts,0.659,0.533,0.089,0.535
Cauchy,2x2,Between,16,1-Factor Contrasts,0.238,0.238,0.056,0.326
Cauchy,2x2,Between,16,2-Factor Contrasts,0.532,0.369,0.065,0.354
Cauchy,2x2,Between,40,1-Factor Contrasts,0.321,0.321,0.059,0.485
Cauchy,2x2,Between,40,2-Factor Contrasts,0.725,0.545,0.079,0.551
Cauchy,2x2,Between,24,1-Factor Contrasts,0.308,0.308,0.075,0.450
Cauchy,2x2,Between,24,2-Factor Contrasts,0.630,0.484,0.089,0.478
Cauchy,2x2,Within,40,1-Factor Contrasts,0.299,0.299,0.070,0.369
Cauchy,2x2,Within,40,2-Factor Contrasts,0.706,0.508,0.083,0.384
Cauchy,2x2,Within,16,1-Factor Contrasts,0.189,0.189,0.038,0.197
Cauchy,2x2,Within,16,2-Factor Contrasts,0.519,0.339,0.080,0.214
Cauchy,2x2,Within,8,1-Factor Contrasts,0.141,0.141,0.063,0.138
Cauchy,2x2,Within,8,2-Factor Contrasts,0.333,0.237,0.077,0.138
Cauchy,2x2,Within,24,1-Factor Contrasts,0.251,0.251,0.071,0.264
Cauchy,2x2,Within,24,2-Factor Contrasts,0.612,0.411,0.066,0.273
Cauchy,2x2,Within,32,1-Factor Contrasts,0.334,0.334,0.056,0.385
Cauchy,2x2,Within,32,2-Factor Contrasts,0.645,0.495,0.074,0.363
Cauchy,2x2x2,Between,40,1-Factor Contrasts,0.617,0.617,0.072,0.518
Cauchy,2x2x2,Between,40,2-Factor Contrasts,0.668,0.410,0.080,0.501
Cauchy,2x2x2,Between,40,3-Factor Contrasts,0.700,0.534,0.113,0.552
Cauchy,2x2x2,Between,32,1-Factor Contrasts,0.610,0.610,0.052,0.468
Cauchy,2x2x2,Between,32,2-Factor Contrasts,0.622,0.367,0.055,0.480
Cauchy,2x2x2,Between,32,3-Factor Contrasts,0.678,0.505,0.094,0.513
Cauchy,2x2x2,Between,8,1-Factor Contrasts,0.426,0.426,0.052,0.227
Cauchy,2x2x2,Between,8,2-Factor Contrasts,0.312,0.175,0.065,0.225
Cauchy,2x2x2,Between,8,3-Factor Contrasts,0.315,0.250,0.091,0.230
Cauchy,2x2x2,Between,24,1-Factor Contrasts,0.605,0.605,0.046,0.413
Cauchy,2x2x2,Between,24,2-Factor Contrasts,0.590,0.329,0.053,0.429
Cauchy,2x2x2,Between,24,3-Factor Contrasts,0.628,0.436,0.092,0.441
Cauchy,2x2x2,Between,16,1-Factor Contrasts,0.503,0.503,0.048,0.338
Cauchy,2x2x2,Between,16,2-Factor Contrasts,0.486,0.264,0.059,0.342
Cauchy,2x2x2,Between,16,3-Factor Contrasts,0.529,0.377,0.094,0.358
Cauchy,2x2x2,Within,8,1-Factor Contrasts,0.433,0.433,0.066,0.160
Cauchy,2x2x2,Within,8,2-Factor Contrasts,0.326,0.160,0.066,0.136
Cauchy,2x2x2,Within,8,3-Factor Contrasts,0.329,0.233,0.095,0.134
Cauchy,2x2x2,Within,16,1-Factor Contrasts,0.533,0.533,0.051,0.212
Cauchy,2x2x2,Within,16,2-Factor Contrasts,0.494,0.233,0.056,0.227
Cauchy,2x2x2,Within,16,3-Factor Contrasts,0.533,0.350,0.099,0.218
Cauchy,2x2x2,Within,40,1-Factor Contrasts,0.689,0.689,0.068,0.418
Cauchy,2x2x2,Within,40,2-Factor Contrasts,0.673,0.387,0.064,0.400
Cauchy,2x2x2,Within,40,3-Factor Contrasts,0.728,0.520,0.099,0.405
Cauchy,2x2x2,Within,32,1-Factor Contrasts,0.619,0.619,0.037,0.376
Cauchy,2x2x2,Within,32,2-Factor Contrasts,0.635,0.353,0.049,0.361
Cauchy,2x2x2,Within,32,3-Factor Contrasts,0.685,0.490,0.098,0.370
Cauchy,2x2x2,Within,24,1-Factor Contrasts,0.596,0.596,0.050,0.293
Cauchy,2x2x2,Within,24,2-Factor Contrasts,0.593,0.302,0.057,0.290
Cauchy,2x2x2,Within,24,3-Factor Contrasts,0.642,0.437,0.111,0.317
Cauchy,3x3,Between,16,1-Factor Contrasts,0.454,0.454,0.053,0.305
Cauchy,3x3,Between,16,2-Factor Contrasts,0.569,0.357,0.101,0.345
Cauchy,3x3,Between,32,1-Factor Contrasts,0.556,0.556,0.048,0.468
Cauchy,3x3,Between,32,2-Factor Contrasts,0.713,0.501,0.098,0.513
Cauchy,3x3,Between,24,1-Factor Contrasts,0.527,0.527,0.051,0.400
Cauchy,3x3,Between,24,2-Factor Contrasts,0.675,0.451,0.119,0.458
Cauchy,3x3,Between,8,1-Factor Contrasts,0.321,0.321,0.051,0.171
Cauchy,3x3,Between,8,2-Factor Contrasts,0.389,0.230,0.100,0.213
Cauchy,3x3,Between,40,1-Factor Contrasts,0.594,0.594,0.069,0.545
Cauchy,3x3,Between,40,2-Factor Contrasts,0.733,0.562,0.116,0.575
Cauchy,3x3,Within,24,1-Factor Contrasts,0.492,0.492,0.063,0.317
Cauchy,3x3,Within,24,2-Factor Contrasts,0.641,0.436,0.106,0.312
Cauchy,3x3,Within,32,1-Factor Contrasts,0.520,0.520,0.064,0.351
Cauchy,3x3,Within,32,2-Factor Contrasts,0.693,0.490,0.104,0.365
Cauchy,3x3,Within,16,1-Factor Contrasts,0.445,0.445,0.049,0.236
Cauchy,3x3,Within,16,2-Factor Contrasts,0.572,0.353,0.105,0.223
Cauchy,3x3,Within,40,1-Factor Contrasts,0.545,0.545,0.059,0.399
Cauchy,3x3,Within,40,2-Factor Contrasts,0.728,0.519,0.107,0.409
Cauchy,3x3,Within,8,1-Factor Contrasts,0.349,0.349,0.062,0.155
Cauchy,3x3,Within,8,2-Factor Contrasts,0.395,0.246,0.100,0.137
T with 3 D.F.,2x2,Between,8,1-Factor Contrasts,0.412,0.412,0.366,0.350
T with 3 D.F.,2x2,Between,8,2-Factor Contrasts,0.131,0.388,0.338,0.373
T with 3 D.F.,2x2,Between,32,1-Factor Contrasts,0.684,0.684,0.589,0.592
T with 3 D.F.,2x2,Between,32,2-Factor Contrasts,0.368,0.667,0.593,0.662
T with 3 D.F.,2x2,Between,16,1-Factor Contrasts,0.516,0.516,0.430,0.428
T with 3 D.F.,2x2,Between,16,2-Factor Contrasts,0.259,0.524,0.448,0.512
T with 3 D.F.,2x2,Between,40,1-Factor Contrasts,0.699,0.699,0.627,0.652
T with 3 D.F.,2x2,Between,40,2-Factor Contrasts,0.367,0.682,0.618,0.676
T with 3 D.F.,2x2,Between,24,1-Factor Contrasts,0.647,0.647,0.565,0.560
T with 3 D.F.,2x2,Between,24,2-Factor Contrasts,0.357,0.657,0.574,0.645
T with 3 D.F.,2x2,Within,40,1-Factor Contrasts,0.660,0.660,0.586,0.596
T with 3 D.F.,2x2,Within,40,2-Factor Contrasts,0.395,0.662,0.605,0.636
T with 3 D.F.,2x2,Within,16,1-Factor Contrasts,0.485,0.485,0.448,0.425
T with 3 D.F.,2x2,Within,16,2-Factor Contrasts,0.248,0.527,0.444,0.443
T with 3 D.F.,2x2,Within,8,1-Factor Contrasts,0.390,0.390,0.331,0.291
T with 3 D.F.,2x2,Within,8,2-Factor Contrasts,0.161,0.397,0.342,0.289
T with 3 D.F.,2x2,Within,24,1-Factor Contrasts,0.617,0.617,0.517,0.520
T with 3 D.F.,2x2,Within,24,2-Factor Contrasts,0.293,0.610,0.523,0.560
T with 3 D.F.,2x2,Within,32,1-Factor Contrasts,0.670,0.670,0.625,0.622
T with 3 D.F.,2x2,Within,32,2-Factor Contrasts,0.356,0.656,0.589,0.637
T with 3 D.F.,2x2x2,Between,40,1-Factor Contrasts,0.684,0.684,0.607,0.620
T with 3 D.F.,2x2x2,Between,40,2-Factor Contrasts,0.403,0.695,0.608,0.628
T with 3 D.F.,2x2x2,Between,40,3-Factor Contrasts,0.287,0.698,0.613,0.692
T with 3 D.F.,2x2x2,Between,32,1-Factor Contrasts,0.683,0.683,0.602,0.620
T with 3 D.F.,2x2x2,Between,32,2-Factor Contrasts,0.365,0.662,0.580,0.602
T with 3 D.F.,2x2x2,Between,32,3-Factor Contrasts,0.245,0.663,0.580,0.660
T with 3 D.F.,2x2x2,Between,8,1-Factor Contrasts,0.372,0.372,0.323,0.276
T with 3 D.F.,2x2x2,Between,8,2-Factor Contrasts,0.153,0.384,0.324,0.308
T with 3 D.F.,2x2x2,Between,8,3-Factor Contrasts,0.049,0.387,0.325,0.356
T with 3 D.F.,2x2x2,Between,24,1-Factor Contrasts,0.628,0.628,0.533,0.533
T with 3 D.F.,2x2x2,Between,24,2-Factor Contrasts,0.354,0.621,0.529,0.550
T with 3 D.F.,2x2x2,Between,24,3-Factor Contrasts,0.205,0.609,0.524,0.601
T with 3 D.F.,2x2x2,Between,16,1-Factor Contrasts,0.541,0.541,0.452,0.450
T with 3 D.F.,2x2x2,Between,16,2-Factor Contrasts,0.272,0.547,0.462,0.473
T with 3 D.F.,2x2x2,Between,16,3-Factor Contrasts,0.138,0.545,0.456,0.531
T with 3 D.F.,2x2x2,Within,8,1-Factor Contrasts,0.414,0.414,0.360,0.314
T with 3 D.F.,2x2x2,Within,8,2-Factor Contrasts,0.164,0.407,0.348,0.300
