Population Distribution,Layout,Between or Within,Condition Sample Size,Contrast Size,ART-C observed Type I error rate,T-test observed Type I error rate,Mann Whitney U test/ Wilcoxon signed-rank test observed Type I error rate,ART observed Type I error rate
Exponential,2x2x2,Between,40,1-Factor Contrasts,0.052,0.052,0.056,0.052
Exponential,2x2x2,Between,40,2-Factor Contrasts,0.055,0.051,0.055,0.023
Exponential,2x2x2,Between,40,3-Factor Contrasts,0.05,0.05,0.049,0.015
Exponential,2x2x2,Between,8,1-Factor Contrasts,0.049,0.039,0.05,0.049
Exponential,2x2x2,Between,8,2-Factor Contrasts,0.046,0.044,0.041,0.009
Exponential,2x2x2,Between,8,3-Factor Contrasts,0.049,0.047,0.048,0.006
Exponential,2x2x2,Between,24,1-Factor Contrasts,0.05,0.05,0.056,0.05
Exponential,2x2x2,Between,24,2-Factor Contrasts,0.048,0.043,0.045,0.021
Exponential,2x2x2,Between,24,3-Factor Contrasts,0.049,0.048,0.045,0.014
Exponential,2x2x2,Within,40,1-Factor Contrasts,0.052,0.047,0.057,0.052
Exponential,2x2x2,Within,40,2-Factor Contrasts,0.053,0.049,0.052,0.155
Exponential,2x2x2,Within,40,3-Factor Contrasts,0.058,0.051,0.056,0.176
Exponential,2x2x2,Within,8,1-Factor Contrasts,0.073,0.038,0.061,0.073
Exponential,2x2x2,Within,8,2-Factor Contrasts,0.05,0.047,0.044,0.063
Exponential,2x2x2,Within,8,3-Factor Contrasts,0.05,0.048,0.035,0.069
Exponential,2x2x2,Within,24,1-Factor Contrasts,0.04,0.036,0.034,0.04
Exponential,2x2x2,Within,24,2-Factor Contrasts,0.041,0.043,0.037,0.107
Exponential,2x2x2,Within,24,3-Factor Contrasts,0.041,0.046,0.041,0.14
Exponential,2x2x2,Within,32,1-Factor Contrasts,0.055,0.048,0.053,0.055
Exponential,2x2x2,Within,32,2-Factor Contrasts,0.055,0.048,0.051,0.131
Exponential,2x2x2,Within,32,3-Factor Contrasts,0.056,0.048,0.053,0.157
Exponential,2x2x2,Within,16,1-Factor Contrasts,0.052,0.05,0.064,0.052
Exponential,2x2x2,Within,16,2-Factor Contrasts,0.047,0.048,0.051,0.102
Exponential,2x2x2,Within,16,3-Factor Contrasts,0.056,0.05,0.047,0.126
Exponential,3x3,Between,16,1-Factor Contrasts,0.05,0.05,0.048,0.05
Exponential,3x3,Between,16,2-Factor Contrasts,0.048,0.05,0.045,0.03
Exponential,3x3,Between,40,1-Factor Contrasts,0.05,0.06,0.051,0.05
Exponential,3x3,Between,40,2-Factor Contrasts,0.049,0.047,0.049,0.031
Exponential,3x3,Between,8,1-Factor Contrasts,0.066,0.057,0.062,0.066
Exponential,3x3,Between,8,2-Factor Contrasts,0.054,0.052,0.048,0.022
Exponential,3x3,Between,32,1-Factor Contrasts,0.054,0.053,0.05,0.054
Exponential,3x3,Between,32,2-Factor Contrasts,0.052,0.055,0.053,0.034
Exponential,3x3,Between,24,1-Factor Contrasts,0.038,0.042,0.035,0.038
Exponential,3x3,Between,24,2-Factor Contrasts,0.044,0.048,0.043,0.025
Exponential,3x3,Within,24,1-Factor Contrasts,0.051,0.053,0.046,0.051
Exponential,3x3,Within,24,2-Factor Contrasts,0.056,0.05,0.05,0.14
Exponential,3x3,Within,16,1-Factor Contrasts,0.045,0.028,0.041,0.045
Exponential,3x3,Within,16,2-Factor Contrasts,0.044,0.039,0.04,0.107
Exponential,3x3,Within,40,1-Factor Contrasts,0.049,0.046,0.05,0.049
Exponential,3x3,Within,40,2-Factor Contrasts,0.052,0.053,0.052,0.16
Exponential,3x3,Within,32,1-Factor Contrasts,0.057,0.057,0.057,0.057
Exponential,3x3,Within,32,2-Factor Contrasts,0.048,0.051,0.051,0.182
Exponential,3x3,Within,8,1-Factor Contrasts,0.061,0.043,0.049,0.061
Exponential,3x3,Within,8,2-Factor Contrasts,0.052,0.051,0.041,0.082
Cauchy,2x2,Between,8,1-Factor Contrasts,0.035,0.019,0.038,0.035
Cauchy,2x2,Between,8,2-Factor Contrasts,0.05,0.038,0.045,0.329
Cauchy,2x2,Between,32,1-Factor Contrasts,0.034,0.013,0.036,0.034
Cauchy,2x2,Between,32,2-Factor Contrasts,0.037,0.028,0.04,0.65
Cauchy,2x2,Between,40,1-Factor Contrasts,0.044,0.015,0.056,0.044
Cauchy,2x2,Between,40,2-Factor Contrasts,0.054,0.02,0.054,0.715
Cauchy,2x2,Between,24,1-Factor Contrasts,0.038,0.026,0.046,0.038
Cauchy,2x2,Between,24,2-Factor Contrasts,0.045,0.033,0.041,0.616
Cauchy,2x2,Between,16,1-Factor Contrasts,0.034,0.018,0.052,0.034
Cauchy,2x2,Between,16,2-Factor Contrasts,0.056,0.036,0.051,0.47
Cauchy,2x2,Within,24,1-Factor Contrasts,0.054,0.028,0.065,0.054
Cauchy,2x2,Within,24,2-Factor Contrasts,0.068,0.036,0.054,0.565
Cauchy,2x2,Within,32,1-Factor Contrasts,0.041,0.03,0.036,0.041
Cauchy,2x2,Within,32,2-Factor Contrasts,0.049,0.036,0.045,0.625
Cauchy,2x2,Within,16,1-Factor Contrasts,0.03,0.02,0.045,0.03
Cauchy,2x2,Within,16,2-Factor Contrasts,0.049,0.024,0.034,0.474
Cauchy,2x2,Within,40,1-Factor Contrasts,0.04,0.014,0.033,0.04
Cauchy,2x2,Within,40,2-Factor Contrasts,0.056,0.028,0.05,0.694
Cauchy,2x2,Within,8,1-Factor Contrasts,0.05,0.022,0.029,0.05
Cauchy,2x2,Within,8,2-Factor Contrasts,0.041,0.033,0.03,0.276
Cauchy,2x2x2,Between,32,1-Factor Contrasts,0.478,0.02,0.053,0.478
Cauchy,2x2x2,Between,32,2-Factor Contrasts,0.045,0.033,0.051,0.638
Cauchy,2x2x2,Between,32,3-Factor Contrasts,0.05,0.079,0.05,0.688
Cauchy,2x2x2,Between,16,1-Factor Contrasts,0.396,0.016,0.041,0.396
Cauchy,2x2x2,Between,16,2-Factor Contrasts,0.038,0.028,0.042,0.459
Cauchy,2x2x2,Between,16,3-Factor Contrasts,0.046,0.068,0.047,0.515
Cauchy,2x2x2,Between,8,1-Factor Contrasts,0.348,0.03,0.057,0.348
Cauchy,2x2x2,Between,8,2-Factor Contrasts,0.045,0.032,0.048,0.28
Cauchy,2x2x2,Between,8,3-Factor Contrasts,0.045,0.062,0.047,0.301
Cauchy,2x2x2,Between,40,1-Factor Contrasts,0.44,0.025,0.039,0.44
Cauchy,2x2x2,Between,40,2-Factor Contrasts,0.041,0.03,0.041,0.64
Cauchy,2x2x2,Between,40,3-Factor Contrasts,0.042,0.067,0.042,0.7
Cauchy,2x2x2,Between,24,1-Factor Contrasts,0.376,0.024,0.038,0.376
Cauchy,2x2x2,Between,24,2-Factor Contrasts,0.041,0.039,0.043,0.524
Cauchy,2x2x2,Between,24,3-Factor Contrasts,0.045,0.073,0.044,0.589
Cauchy,2x2x2,Within,40,1-Factor Contrasts,0.49,0.021,0.046,0.49
Cauchy,2x2x2,Within,40,2-Factor Contrasts,0.048,0.035,0.048,0.652
Cauchy,2x2x2,Within,40,3-Factor Contrasts,0.047,0.089,0.046,0.719
Cauchy,2x2x2,Within,24,1-Factor Contrasts,0.525,0.02,0.056,0.525
Cauchy,2x2x2,Within,24,2-Factor Contrasts,0.042,0.031,0.051,0.567
Cauchy,2x2x2,Within,24,3-Factor Contrasts,0.052,0.079,0.052,0.632
Cauchy,2x2x2,Within,8,1-Factor Contrasts,0.383,0.027,0.051,0.383
Cauchy,2x2x2,Within,8,2-Factor Contrasts,0.047,0.033,0.039,0.283
Cauchy,2x2x2,Within,8,3-Factor Contrasts,0.051,0.075,0.035,0.311
Cauchy,2x2x2,Within,16,1-Factor Contrasts,0.387,0.023,0.045,0.387
Cauchy,2x2x2,Within,16,2-Factor Contrasts,0.052,0.035,0.044,0.439
Cauchy,2x2x2,Within,16,3-Factor Contrasts,0.046,0.08,0.043,0.512
Cauchy,2x2x2,Within,32,1-Factor Contrasts,0.438,0.023,0.035,0.438
Cauchy,2x2x2,Within,32,2-Factor Contrasts,0.051,0.029,0.042,0.619
Cauchy,2x2x2,Within,32,3-Factor Contrasts,0.047,0.076,0.046,0.659
