"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
12,24,"within","94","2","b c","3","a d",68.9999999999999,68.9999999999999,68.9999999999999,0.104412946439259,-0.523103937983774,1.29343311213729,0.917144563245783,0.602577786541443,0.200174728966861,0.302899241447449
12,24,"within","95","2","b c","4","b d",68.9999999999999,69.0000000000002,68.9999999999999,2.81334883461337,-1.41758747964532,-0.351813806501344,0.00638130865660283,0.160811349114607,0.72605007326285,0.966447234153748
12,24,"within","96","3","a d","4","b d",69.0000000000002,68.9999999999999,68.9999999999999,2.70893588817412,-0.894483541661541,0.94161930563595,0.00850552447734889,0.374172825167749,0.349672686063987,0.623094320297242
13,32,"within","97","5","a","6","b",93.000000000001,93.0000000000004,93.000000000001,0.696076661342411,1.28768435618973,0.696076661342411,0.488116786835926,0.201050975931312,0.488116786835926,0.590339491196263
13,32,"within","98","7","c","8","d",93.0000000000004,93.0000000000004,93.0000000000004,-0.692854489171964,-1.41089406674841,-0.692854489171964,0.490127464272919,0.161612272970549,0.490127464272919,0.549485233133041
13,32,"within","99","1","a c","2","b c",93.0000000000004,93.0000000000004,92.9999999999992,-2.47200889916396,0.156089419087149,0.565262835941787,0.0152540923162575,0.876300862200627,0.573256150774723,0.832039680331946
13,32,"within","100","1","a c","3","a d",93.0000000000004,93.0000000000004,92.9999999999998,2.25281599184893,-1.7520936833361,-0.171870456874192,0.026621974316889,0.0830538726308605,0.863912814663646,0.321714549325407
13,32,"within","101","1","a c","4","b d",93.0000000000004,93.0000000000004,92.9999999999998,0.332848488885788,-0.0871224218440732,0.21770257870731,0.739997811678731,0.930761516088897,0.82813779816475,0.585975122172386
13,32,"within","102","2","b c","3","a d",93.0000000000004,93.0000000000004,92.9999999999992,4.72482489101289,-1.90818310242325,0.737133292815979,8.146362318517e-06,0.0594521860758061,0.462896942091401,0.511912147514522
13,32,"within","103","2","b c","4","b d",93.0000000000004,93.0000000000004,92.9999999999998,2.80485738804975,-0.243211840931222,-0.347560257234477,0.00612927417307728,0.808376940263378,0.728955826329287,0.875446002930403
