,Population_Distribution,Layout,BW,Condition_Sample_Size,Contrast_Size,ART_Con_Num_Sig,Param_Num_Sig,Nonparam_Num_Sig,ART_Omni_Num_Sig,ART_Con_Proportion_Sig,Param_Proportion_Sig,Nonparam_Proportion_Sig,ART_Omni_Proportion_Sig,Num_Trials
84,10,2x2,within,16,2,52,46,47,249,0.043117745,0.03814262,0.038971808,0.206467662,1206
85,10,2x2,within,40,1,15,15,13,15,0.037128713,0.037128713,0.032178218,0.037128713,404
86,10,2x2,within,40,2,39,50,50,446,0.032178218,0.041254125,0.041254125,0.367986799,1212
87,10,2x2,within,32,1,20,24,21,20,0.051813472,0.062176166,0.054404145,0.051813472,386
88,10,2x2,within,32,2,63,58,51,363,0.054404145,0.050086356,0.044041451,0.313471503,1158
89,10,2x2,within,8,1,22,9,18,22,0.055555556,0.022727273,0.045454545,0.055555556,396
90,10,2x2,within,8,2,70,58,48,189,0.058922559,0.048821549,0.04040404,0.159090909,1188
91,10,2x2x2,between,40,1,23,32,23,23,0.039115646,0.054421769,0.039115646,0.039115646,588
92,10,2x2x2,between,40,2,184,187,180,700,0.052154195,0.053004535,0.051020408,0.198412698,3528
93,10,2x2x2,between,40,3,282,279,276,1127,0.05138484,0.050838192,0.050291545,0.205357143,5488
94,10,2x2x2,between,16,1,38,20,35,38,0.065972222,0.034722222,0.060763889,0.065972222,576
95,10,2x2x2,between,16,2,173,149,188,364,0.05005787,0.043113426,0.054398148,0.105324074,3456
96,10,2x2x2,between,16,3,282,291,260,667,0.052455357,0.054129464,0.048363095,0.12406994,5376
97,10,2x2x2,between,32,1,38,22,29,38,0.058103976,0.033639144,0.044342508,0.058103976,654
98,10,2x2x2,between,32,2,181,147,181,507,0.046126402,0.037461774,0.046126402,0.129204893,3924
99,10,2x2x2,between,32,3,259,305,257,1004,0.042431193,0.049967235,0.042103539,0.164482307,6104
100,10,2x2x2,between,24,1,43,41,35,43,0.068580542,0.06539075,0.055821372,0.068580542,627
101,10,2x2x2,between,24,2,201,199,196,546,0.053429027,0.052897395,0.052099947,0.145135566,3762
102,10,2x2x2,between,24,3,330,310,329,956,0.056390977,0.052973342,0.056220096,0.163362953,5852
103,10,2x2x2,between,8,1,55,22,24,55,0.099099099,0.03963964,0.043243243,0.099099099,555
104,10,2x2x2,between,8,2,154,137,153,231,0.046246246,0.041141141,0.045945946,0.069369369,3330
105,10,2x2x2,between,8,3,280,291,264,396,0.054054054,0.056177606,0.050965251,0.076447876,5180
106,10,2x2x2,within,32,1,46,24,23,46,0.081560284,0.042553191,0.040780142,0.081560284,564
107,10,2x2x2,within,32,2,159,142,160,1038,0.046985816,0.041962175,0.047281324,0.306737589,3384
108,10,2x2x2,within,32,3,281,260,263,1803,0.053381459,0.049392097,0.049962006,0.342515198,5264
109,10,2x2x2,within,16,1,56,21,33,56,0.093802345,0.035175879,0.055276382,0.093802345,597
110,10,2x2x2,within,16,2,214,155,168,810,0.05974316,0.043271915,0.046901173,0.226130653,3582
111,10,2x2x2,within,16,3,285,314,249,1416,0.0511486,0.056353195,0.044687724,0.254127782,5572
112,10,2x2x2,within,8,1,71,29,35,71,0.116013072,0.047385621,0.057189542,0.116013072,612
113,10,2x2x2,within,8,2,207,172,165,480,0.056372549,0.046840959,0.044934641,0.130718954,3672
114,10,2x2x2,within,8,3,274,331,207,784,0.047969188,0.057948179,0.036239496,0.137254902,5712
115,10,2x2x2,within,40,1,46,31,26,46,0.081560284,0.054964539,0.046099291,0.081560284,564
116,10,2x2x2,within,40,2,152,174,156,1097,0.044917258,0.05141844,0.046099291,0.324172577,3384
117,10,2x2x2,within,40,3,244,303,240,1930,0.046352584,0.05756079,0.045592705,0.366641337,5264
118,10,2x2x2,within,24,1,48,27,32,48,0.078817734,0.044334975,0.052545156,0.078817734,609
119,10,2x2x2,within,24,2,175,154,146,992,0.04789272,0.042145594,0.039956212,0.271483306,3654
120,10,2x2x2,within,24,3,260,275,249,1783,0.045742435,0.048381422,0.043807178,0.313687544,5684
121,10,3x3,between,24,1,47,45,43,47,0.043518519,0.041666667,0.039814815,0.043518519,1080
122,10,3x3,between,24,2,311,316,310,903,0.047993827,0.048765432,0.047839506,0.139351852,6480
123,10,3x3,between,16,1,75,54,58,75,0.05952381,0.042857143,0.046031746,0.05952381,1260
124,10,3x3,between,16,2,337,395,310,854,0.04457672,0.052248677,0.041005291,0.112962963,7560
125,10,3x3,between,8,1,83,53,47,83,0.07437276,0.047491039,0.042114695,0.07437276,1116
126,10,3x3,between,8,2,384,399,375,679,0.05734767,0.059587814,0.056003584,0.101403823,6696
127,10,3x3,between,40,1,73,49,63,73,0.064035088,0.042982456,0.055263158,0.064035088,1140
128,10,3x3,between,40,2,380,362,389,1152,0.055555556,0.052923977,0.056871345,0.168421053,6840
129,10,3x3,between,32,1,60,60,57,60,0.042735043,0.042735043,0.040598291,0.042735043,1404
130,10,3x3,between,32,2,408,449,405,1339,0.048433048,0.053300095,0.048076923,0.158950617,8424
131,10,3x3,within,8,1,79,39,36,79,0.068935428,0.034031414,0.031413613,0.068935428,1146
132,10,3x3,within,8,2,331,363,226,1127,0.048138453,0.052792321,0.032867946,0.163903432,6876
133,10,3x3,within,16,1,85,44,56,85,0.074561404,0.038596491,0.049122807,0.074561404,1140
134,10,3x3,within,16,2,350,415,309,1615,0.051169591,0.060672515,0.045175439,0.236111111,6840
135,10,3x3,within,32,1,70,52,48,70,0.056360709,0.041867955,0.038647343,0.056360709,1242
136,10,3x3,within,32,2,343,356,330,2165,0.046027912,0.04777241,0.044283414,0.290526033,7452
137,10,3x3,within,40,1,71,51,56,71,0.058872305,0.042288557,0.046434494,0.058872305,1206
138,10,3x3,within,40,2,338,342,313,2165,0.04671089,0.047263682,0.043255943,0.299198452,7236
139,10,3x3,within,24,1,75,56,58,75,0.062189055,0.046434494,0.048092869,0.062189055,1206
140,10,3x3,within,24,2,331,413,330,1899,0.045743505,0.057075732,0.045605307,0.262437811,7236
141,101,2x2,between,8,1,189,195,136,189,0.489637306,0.505181347,0.352331606,0.489637306,386
142,101,2x2,between,8,2,589,594,564,287,0.508635579,0.512953368,0.487046632,0.247841105,1158
143,101,2x2,between,24,1,319,323,287,319,0.705752212,0.71460177,0.634955752,0.705752212,452
144,101,2x2,between,24,2,937,941,919,527,0.69100295,0.693952802,0.677728614,0.388643068,1356
145,101,2x2,between,40,1,262,265,241,262,0.740112994,0.748587571,0.68079096,0.740112994,354
146,101,2x2,between,40,2,800,794,791,463,0.753295669,0.747645951,0.744821092,0.435969868,1062
147,101,2x2,between,32,1,275,274,257,275,0.6875,0.685,0.6425,0.6875,400
148,101,2x2,between,32,2,894,884,876,537,0.745,0.736666667,0.73,0.4475,1200
149,101,2x2,between,16,1,248,256,218,248,0.607843137,0.62745098,0.534313725,0.607843137,408
150,101,2x2,between,16,2,765,759,733,375,0.625,0.620098039,0.598856209,0.306372549,1224
151,101,2x2,within,40,1,318,321,297,318,0.753554502,0.760663507,0.703791469,0.753554502,422
152,101,2x2,within,40,2,947,952,932,522,0.748025276,0.751974724,0.736176935,0.412322275,1266
153,101,2x2,within,24,1,232,229,205,232,0.644444444,0.636111111,0.569444444,0.644444444,360
154,101,2x2,within,24,2,730,737,717,396,0.675925926,0.682407407,0.663888889,0.366666667,1080
